,track_fma_id,track_spot_id,time_signature,time_sig_confidence,track_name,artist_name,album_name,track_bit,track_top_genre
0,5,66381EvBZ6e3RXzYATpGmN,4,1.0,Freeway,Kurt Vile,Constant Hitmaker,192000,Pop
1,18,2ee4Do6eRNXGg7XqKGkvz3,3,1.0,Ohio,Alec K. Redfearn & the Eyesores,Every Man For Himself,128000,Folk
2,86,1OrbImTwzIVWtW1msIfa2r,4,0.815,Boute,Au,Au,256000,Pop
3,316,4ypiBQX6nsXTwLkaHwnaRI,4,0.349,I Can See You,Charles Manson,One Mind,128000,Folk
4,322,4m8jcQJ7wg4RyFNnIvZZgn,3,0.143,The Black Pirate,Charles Manson,One Mind,128000,Folk
5,328,2zPVxyeQrT9MwfS8ctQa0T,4,0.457,If You Have No One,Charles Manson,One Mind,128000,Folk
6,353,6Eu8bEwssf8s96WqcfaKAf,4,1.0,Caliente Queen,Clockcleaner,Babylon Rules,219522,Rock
7,372,627wtOXop9jdOzqmB7QjTC,3,0.168,Disappearing,Dora Bleu,Clones of Eros,160000,Folk
8,391,4i0B7ZDzFFaEVg4nj0x1EH,4,0.281,Blue Eyed Baby,Ed Askew,Rainy Day Song,256000,Folk
9,395,0NuZEpQTEN6Ooggg0TIAMM,4,1.0,Climbing To The Top,Ed Askew,Rainy Day Song,256000,Folk
10,458,0Le9p2uNeMThbzzCJZ0pA5,3,0.388,Cataclysm,Flying Luttenbachers,Cataclysm,256000,Rock
11,472,2ZYepR3esbceIIzp5RDjDD,4,1.0,Mano De Dios,Fósforo,Macondo,256000,International
12,473,0wsm7gDIDSUokc7m1p4arf,4,1.0,Tio Cocodrilo,Fósforo,Macondo,256000,International
13,474,2G8kpbwlQTQX998tcEBuYm,4,0.88,Esto Es Califas,Fósforo,Macondo,256000,International
14,476,2f72dgz2E6RMQaEITydBkC,4,0.984,Desconocido,Fósforo,Macondo,256000,International
15,745,3UrCFeMdlz7eoPCrbXPZtE,4,0.047,No Good Deed Goes Unpunished,Kevin Shields,The Death of Patience,256000,Experimental
16,748,7nWTkO59idSqf6i5TSYcor,4,0.39,Apparently,Kevin Shields,The Death of Patience,256000,Experimental
17,784,78Hzw8mVgJmsMV3q1FpNmK,4,0.98,13 Monsters,Lightning Bolt,Ride the Skies,256000,Rock
18,785,4WvK9KShAoU8hgrV98lONt,4,0.808,Dracula Mountain,Lightning Bolt,Wonderful Rainbow,192000,Rock
19,805,3NjbYlRr4EExkKjfKXZA1x,3,0.894,Helicopter de Cristal,Lucky Dragons,Norteñas,192000,Experimental
20,808,0J8D20bH3sVJAH2EgxHviL,4,0.76,Un Lagrima en la Discoteca,Lucky Dragons,Norteñas,192000,Experimental
21,812,5n9kaB3z485r0CCGOewfB5,4,1.0,Onda Tocadisco,Lucky Dragons,Norteñas,192000,Experimental
22,814,4t3daYD7n8sfYcSJGyOshT,5,0.875,Painful Corazon,Lucky Dragons,Norteñas,192000,Experimental
23,826,4mmXB9JVEIQbNbWcrQE715,1,0.729,Tell The Police The Truth,Mahjongg,Kontpab,256000,Rock
24,922,3rgoR037nWq1N0B00wNDDM,4,0.505,Wooly Mammoth's Absence,Mount Eerie,Seven New Songs,192000,Folk
25,924,6ntzqS9gdlq2NWTnBLdITo,4,0.779,With My Hands Out,Mount Eerie,Seven New Songs,192000,Folk
26,925,0kESV9EI7KPNcNmiUVYlIP,4,1.0,2 Blonde Braids,Mount Eerie,Seven New Songs,192000,Folk
27,926,2bTWavM73Zc2dFC6z4drD2,4,1.0,My Burning,Mount Eerie,Seven New Songs,192000,Folk
28,1003,4anemEPtcSSETPrxlS7IUG,4,0.695,Richard Nixon Died Today,Negativland,Thigmotactic,256000,Experimental
29,1004,76UhukPQbG8gjlsTeg1Qft,4,0.9,No Business,Negativland,No Business,256000,Experimental
30,1005,7oNcXqEK9kcJZeaDIt8Je1,3,0.158,Downloading,Negativland,No Business,256000,Experimental
31,1114,2nrAMydekzt68Rszki16dE,4,0.967,Guns of Thunder,Pierced Arrows,Straight To the Heart,256000,Rock
32,1510,2pDv86yEYB4TtkOej4LUF6,4,1.0,I Do What I Do,The Yolks,Introducing The Yolks,160000,Rock
33,1655,5vGLjrgILgB1ej2E40ZU6u,4,0.512,My Sweet Miasma,Hall Of Fame,Paradise Now,256000,Folk
34,1657,786cbmAVpQq7c4X2KiYjqf,4,0.185,....like bacon sundays,luc,peaofthesea,192000,Pop
35,3758,6CQW126lvaq822Kv1eJOC9,4,0.317,heartbreaker,Lucky Dragons,Dark Falcon,192000,Experimental
36,3759,05IucGNev0xSH58SQiXqzt,4,0.333,new homes,Lucky Dragons,Dark Falcon,192000,Experimental
37,3760,1e4JlvOgmiZb2naWEX9cA3,4,0.558,cherchez le dragon,Lucky Dragons,Dark Falcon,192000,Experimental
38,3761,5EvGxGrbSDUe8RSb31zjAw,3,0.888,about peter,Lucky Dragons,Dark Falcon,192000,Experimental
39,3763,5Iq8gtEPtYRKkITqgPEtDq,4,0.425,resurrect dead on planet jupiter,Lucky Dragons,Dark Falcon,192000,Experimental
40,3764,1FnH12eSmQ3lWbVI7JqL0T,3,0.931,it's hard to fall asleep,Lucky Dragons,Dark Falcon,192000,Experimental
41,3768,5CIML3rZiQVFgUilN3mtHd,5,0.279,i hear horrible music,Lucky Dragons,Dark Falcon,192000,Experimental
42,3773,6g22vib01xbDtfAkrQCWRj,1,0.825,girlworld (3 in a bed mix),Lucky Dragons,Dark Falcon,192000,Experimental
43,3777,1ZrFPOu6XQUliCOZY0Uygn,3,0.043,leaving things as they are,Lucky Dragons,Dark Falcon,192000,Experimental
44,3841,1at9GRHSSIQ6E4gAeUbZnv,4,0.575,Seeing You Out,BrokeMC,Seeing Things,128000,Hip-Hop
45,3842,2pSqERI9lr4nqA0GxYz5eK,4,1.0,Seeing Things Intro,BrokeMC,Seeing Things,128000,Hip-Hop
